fips,county_name,year,predicted_ratio,trend_per_year,latest_ratio,latest_rent,latest_income
1003,"Baldwin County, Alabama",2024,19.17,-0.1961,19.37,1211.0,75019.0
1003,"Baldwin County, Alabama",2025,18.98,-0.1961,19.37,1211.0,75019.0
1003,"Baldwin County, Alabama",2026,18.78,-0.1961,19.37,1211.0,75019.0
1003,"Baldwin County, Alabama",2027,18.59,-0.1961,19.37,1211.0,75019.0
1003,"Baldwin County, Alabama",2028,18.39,-0.1961,19.37,1211.0,75019.0
1005,"Barbour County, Alabama",2024,17.04,-0.4086,17.45,644.0,44290.0
1005,"Barbour County, Alabama",2025,16.63,-0.4086,17.45,644.0,44290.0
1005,"Barbour County, Alabama",2026,16.22,-0.4086,17.45,644.0,44290.0
1005,"Barbour County, Alabama",2027,15.82,-0.4086,17.45,644.0,44290.0
1005,"Barbour County, Alabama",2028,15.41,-0.4086,17.45,644.0,44290.0
1009,"Blount County, Alabama",2024,14.35,-0.2358,14.59,743.0,61096.0
1009,"Blount County, Alabama",2025,14.12,-0.2358,14.59,743.0,61096.0
1009,"Blount County, Alabama",2026,13.88,-0.2358,14.59,743.0,61096.0
1009,"Blount County, Alabama",2027,13.65,-0.2358,14.59,743.0,61096.0
1009,"Blount County, Alabama",2028,13.41,-0.2358,14.59,743.0,61096.0
1011,"Bullock County, Alabama",2024,20.25,-0.5,20.75,635.0,36723.0
1011,"Bullock County, Alabama",2025,19.75,-0.5,20.75,635.0,36723.0
1011,"Bullock County, Alabama",2026,19.25,-0.5,20.75,635.0,36723.0
1011,"Bullock County, Alabama",2027,18.75,-0.5,20.75,635.0,36723.0
1011,"Bullock County, Alabama",2028,18.25,-0.5,20.75,635.0,36723.0
1017,"Chambers County, Alabama",2024,20.45,-0.2444,20.69,850.0,49295.0
1017,"Chambers County, Alabama",2025,20.2,-0.2444,20.69,850.0,49295.0
1017,"Chambers County, Alabama",2026,19.96,-0.2444,20.69,850.0,49295.0
1017,"Chambers County, Alabama",2027,19.71,-0.2444,20.69,850.0,49295.0
1017,"Chambers County, Alabama",2028,19.47,-0.2444,20.69,850.0,49295.0
1021,"Chilton County, Alabama",2024,16.15,-0.4288,16.58,855.0,61873.0
1021,"Chilton County, Alabama",2025,15.72,-0.4288,16.58,855.0,61873.0
1021,"Chilton County, Alabama",2026,15.29,-0.4288,16.58,855.0,61873.0
1021,"Chilton County, Alabama",2027,14.86,-0.4288,16.58,855.0,61873.0
1021,"Chilton County, Alabama",2028,14.44,-0.4288,16.58,855.0,61873.0
1037,"Coosa County, Alabama",2024,13.84,-0.5,14.34,682.0,57063.0
1037,"Coosa County, Alabama",2025,13.34,-0.5,14.34,682.0,57063.0
1037,"Coosa County, Alabama",2026,12.84,-0.5,14.34,682.0,57063.0
1037,"Coosa County, Alabama",2027,12.34,-0.5,14.34,682.0,57063.0
1037,"Coosa County, Alabama",2028,11.84,-0.5,14.34,682.0,57063.0
1039,"Covington County, Alabama",2024,17.16,-0.2019,17.36,736.0,50886.0
1039,"Covington County, Alabama",2025,16.96,-0.2019,17.36,736.0,50886.0
1039,"Covington County, Alabama",2026,16.75,-0.2019,17.36,736.0,50886.0
1039,"Covington County, Alabama",2027,16.55,-0.2019,17.36,736.0,50886.0
1039,"Covington County, Alabama",2028,16.35,-0.2019,17.36,736.0,50886.0
1043,"Cullman County, Alabama",2024,17.1,-0.2917,17.39,883.0,60916.0
1043,"Cullman County, Alabama",2025,16.81,-0.2917,17.39,883.0,60916.0
1043,"Cullman County, Alabama",2026,16.52,-0.2917,17.39,883.0,60916.0
1043,"Cullman County, Alabama",2027,16.22,-0.2917,17.39,883.0,60916.0
1043,"Cullman County, Alabama",2028,15.93,-0.2917,17.39,883.0,60916.0
1051,"Elmore County, Alabama",2024,15.77,-0.344,16.11,1014.0,75553.0
1051,"Elmore County, Alabama",2025,15.42,-0.344,16.11,1014.0,75553.0
1051,"Elmore County, Alabama",2026,15.08,-0.344,16.11,1014.0,75553.0
1051,"Elmore County, Alabama",2027,14.73,-0.344,16.11,1014.0,75553.0
1051,"Elmore County, Alabama",2028,14.39,-0.344,16.11,1014.0,75553.0
1053,"Escambia County, Alabama",2024,18.93,-0.2117,19.14,709.0,44447.0
1053,"Escambia County, Alabama",2025,18.72,-0.2117,19.14,709.0,44447.0
1053,"Escambia County, Alabama",2026,18.5,-0.2117,19.14,709.0,44447.0
1053,"Escambia County, Alabama",2027,18.29,-0.2117,19.14,709.0,44447.0
