state_code,year,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
AK,2017,842.0,954.0,1201.0,1607.0,1893.0
AK,2018,843.0,950.0,1192.0,1602.0,1885.0
AK,2019,863.0,975.0,1224.0,1641.0,1897.0
AK,2020,897.0,1014.0,1271.0,1703.0,1947.0
AK,2021,848.0,946.0,1198.0,1593.0,1837.0
AK,2024,1014.0,1124.0,1425.0,1886.0,2188.0
AL,2017,530.0,567.0,701.0,941.0,1083.0
AL,2018,527.0,563.0,693.0,925.0,1074.0
AL,2019,537.0,577.0,707.0,938.0,1090.0
AL,2020,543.0,585.0,714.0,941.0,1089.0
AL,2021,557.0,600.0,737.0,965.0,1114.0
AL,2024,745.0,797.0,980.0,1265.0,1450.0
AR,2017,483.0,517.0,658.0,881.0,1008.0
AR,2018,493.0,529.0,675.0,899.0,1029.0
AR,2019,506.0,546.0,694.0,919.0,1065.0
AR,2020,501.0,541.0,681.0,902.0,1052.0
AR,2021,525.0,562.0,707.0,933.0,1085.0
AR,2024,672.0,708.0,888.0,1169.0,1345.0
AS,2017,502.0,506.0,677.0,987.0,1038.0
AS,2018,514.0,517.0,688.0,1001.0,1055.0
AS,2019,543.0,547.0,723.0,1045.0,1109.0
AS,2020,564.0,568.0,748.0,1079.0,1147.0
AS,2021,590.0,594.0,783.0,1121.0,1201.0
AS,2024,739.0,744.0,977.0,1377.0,1498.0
AZ,2017,594.0,649.0,829.0,1160.0,1341.0
AZ,2018,614.0,669.0,853.0,1192.0,1364.0
AZ,2019,648.0,703.0,897.0,1253.0,1426.0
AZ,2020,674.0,744.0,941.0,1316.0,1491.0
AZ,2021,715.0,785.0,992.0,1376.0,1556.0
AZ,2024,989.0,1094.0,1358.0,1836.0,2104.0
CA,2017,868.0,997.0,1276.0,1790.0,2112.0
CA,2018,916.0,1051.0,1342.0,1879.0,2195.0
CA,2019,954.0,1093.0,1392.0,1945.0,2267.0
CA,2020,1041.0,1187.0,1505.0,2096.0,2432.0
CA,2021,1109.0,1256.0,1590.0,2193.0,2544.0
CA,2024,1427.0,1569.0,1965.0,2653.0,3063.0
CO,2017,654.0,717.0,915.0,1274.0,1475.0
CO,2018,713.0,783.0,992.0,1375.0,1577.0
CO,2019,749.0,816.0,1027.0,1413.0,1630.0
CO,2020,757.0,819.0,1030.0,1406.0,1636.0
CO,2021,823.0,882.0,1107.0,1497.0,1741.0
CO,2024,1099.0,1183.0,1480.0,1935.0,2287.0
CT,2017,809.0,962.0,1213.0,1550.0,1762.0
CT,2018,837.0,989.0,1237.0,1581.0,1813.0
CT,2019,840.0,1002.0,1255.0,1606.0,1842.0
CT,2020,873.0,1037.0,1299.0,1653.0,1920.0
CT,2021,913.0,1083.0,1352.0,1709.0,2015.0
CT,2024,1176.0,1364.0,1702.0,2114.0,2525.0
DC,2017,1440.0,1513.0,1746.0,2300.0,2855.0
DC,2018,1504.0,1561.0,1793.0,2353.0,2902.0
DC,2019,1415.0,1454.0,1665.0,2176.0,2678.0
DC,2020,1457.0,1500.0,1707.0,2215.0,2707.0
DC,2021,1513.0,1548.0,1765.0,2263.0,2742.0
DC,2024,1772.0,1803.0,2045.0,2544.0,3015.0
DE,2017,765.0,863.0,1054.0,1443.0,1663.0
DE,2018,750.0,849.0,1033.0,1418.0,1634.0
DE,2019,800.0,893.0,1096.0,1503.0,1742.0
DE,2020,794.0,879.0,1073.0,1463.0,1698.0
DE,2021,806.0,893.0,1097.0,1466.0,1696.0
DE,2024,1107.0,1185.0,1468.0,1895.0,2204.0
FL,2017,654.0,731.0,898.0,1218.0,1436.0
FL,2018,676.0,752.0,926.0,1251.0,1476.0
FL,2019,718.0,792.0,973.0,1312.0,1555.0
FL,2020,755.0,829.0,1019.0,1365.0,1621.0
FL,2021,784.0,855.0,1050.0,1398.0,1657.0
FL,2024,1082.0,1162.0,1400.0,1834.0,2163.0
GA,2017,563.0,594.0,726.0,978.0,1162.0
GA,2018,598.0,628.0,764.0,1026.0,1217.0
GA,2019,619.0,648.0,782.0,1046.0,1236.0
GA,2020,629.0,659.0,791.0,1048.0,1238.0
GA,2021,633.0,662.0,796.0,1049.0,1237.0
GA,2024,899.0,933.0,1114.0,1431.0,1673.0
GA,2025,935.0,978.0,1157.0,1477.0,1726.0
GU,2017,681.0,734.0,983.0,1433.0,1716.0
GU,2018,692.0,751.0,999.0,1453.0,1760.0
GU,2019,728.0,795.0,1051.0,1520.0,1846.0
GU,2020,952.0,1043.0,1374.0,1982.0,2412.0
GU,2021,975.0,1068.0,1408.0,2015.0,2438.0
