fips,county_name,slope,intercept,latest_year,latest_ratio,latest_rent,latest_income,log_population,r2
72085,"Las Piedras Municipio, Puerto Rico",-0.5,1897.2366666666674,2023,23.16,496.0,25697.0,10.464074297511592,0.5869115403548897
72069,"Humacao Municipio, Puerto Rico",-0.5,1203.0408333333341,2023,24.43,531.0,26083.0,10.828559615417621,0.7827747045931963
72063,"Gurabo Municipio, Puerto Rico",-0.5,1416.0758333333333,2023,20.46,674.0,39532.0,10.606164183312202,0.7379026890834806
72059,"Guayanilla Municipio, Puerto Rico",-0.5,1074.770833333333,2023,24.39,435.0,21400.0,9.765259433252686,0.563123261102338
1087,"Macon County, Alabama",-0.5,1138.195833333334,2023,18.52,709.0,45951.0,9.84961197956681,0.7022596651117949
21011,"Bath County, Kentucky",-0.5,2337.425833333334,2023,13.3,600.0,54128.0,9.458137510729049,0.877325004506225
1037,"Coosa County, Alabama",-0.5,1865.4583333333342,2023,14.34,682.0,57063.0,9.24212969446559,0.9170751083323092
1011,"Bullock County, Alabama",-0.5,1324.8258333333335,2023,20.75,635.0,36723.0,9.2259184019395,0.5340567434835459
19187,"Webster County, Iowa",-0.5,1250.8783333333338,2023,13.44,762.0,68054.0,10.514556622060466,0.9303259317586768
19137,"Montgomery County, Iowa",-0.5,1106.349166666667,2023,14.85,782.0,63190.0,9.235423152343646,0.6920227751558932
19121,"Madison County, Iowa",-0.5,1269.8183333333336,2023,12.57,938.0,89542.0,9.726750374036074,0.9485603140884975
18169,"Wabash County, Indiana",-0.5,1059.3675,2023,13.19,752.0,68414.0,10.33854382482173,0.8975857229046647
20061,"Geary County, Kansas",-0.5,1219.4975000000004,2023,23.42,1119.0,57344.0,10.488353289010583,0.6231556663764988
21065,"Estill County, Kentucky",-0.5,1061.6866666666672,2023,18.83,689.0,43905.0,9.552439604462528,0.8215225688326988
18155,"Switzerland County, Indiana",-0.5,3590.38,2020,14.61,624.0,51270.0,9.280519206597429,0.9371915066739259
72121,"Sabana Grande Municipio, Puerto Rico",-0.5,3069.010833333335,2023,25.56,438.0,20564.0,10.02309115218196,0.9186335849847673
72115,"Quebradillas Municipio, Puerto Rico",-0.5,2227.3441666666668,2023,26.77,527.0,23624.0,10.064159777925026,0.899575639413142
72047,"Corozal Municipio, Puerto Rico",-0.5,4002.9458333333346,2023,25.82,515.0,23933.0,10.447960695714336,0.7197653619449873
72039,"Ciales Municipio, Puerto Rico",-0.5,3774.367500000002,2023,23.69,407.0,20614.0,9.733529254725571,0.8587443623475233
72029,"Canóvanas Municipio, Puerto Rico",-0.5,1438.9925000000005,2023,25.43,578.0,27278.0,10.646305461835654,0.7545992667681347
72019,"Barranquitas Municipio, Puerto Rico",-0.5,1924.5283333333332,2023,27.18,502.0,22167.0,10.274499232574913,0.755615422550525
72007,"Aguas Buenas Municipio, Puerto Rico",-0.5,3227.2616666666686,2023,24.52,457.0,22361.0,10.081131519778971,0.8367755815500041
72003,"Aguada Municipio, Puerto Rico",-0.5,1051.138333333333,2023,25.72,465.0,21694.0,10.542811926398567,0.7871239663790356
72001,"Adjuntas Municipio, Puerto Rico",-0.5,3910.255833333334,2023,26.64,413.0,18605.0,9.796737182589247,0.9652438762340946
56023,"Lincoln County, Wyoming",-0.5,1309.7000000000005,2023,12.1,868.0,86092.0,9.911356510914823,0.7357728087909743
