series_id,series_name,year,period,period_name,value,pct_change_1yr
CUUR0000SA0,CPI_All_Items,2026,M02,February,326.785,0.5
CUUR0000SA0,CPI_All_Items,2026,M01,January,325.252,0.4
CUUR0000SA0,CPI_All_Items,2025,M13,Annual,321.943,-0.7
CUUR0000SA0,CPI_All_Items,2025,M12,December,324.054,0.0
CUUR0000SA0,CPI_All_Items,2025,M11,November,324.122,
CUUR0000SA0,CPI_All_Items,2025,M10,October,,
CUUR0000SA0,CPI_All_Items,2025,M09,September,324.8,0.3
CUUR0000SA0,CPI_All_Items,2025,M08,August,323.976,0.3
CUUR0000SA0,CPI_All_Items,2025,M07,July,323.048,0.2
CUUR0000SA0,CPI_All_Items,2025,M06,June,322.561,0.3
CUUR0000SA0,CPI_All_Items,2025,M05,May,321.465,0.2
CUUR0000SA0,CPI_All_Items,2025,M04,April,320.795,0.3
CUUR0000SA0,CPI_All_Items,2025,M03,March,319.799,0.2
CUUR0000SA0,CPI_All_Items,2025,M02,February,319.082,0.4
CUUR0000SA0,CPI_All_Items,2025,M01,January,317.671,0.7
CUUR0000SA0,CPI_All_Items,2024,M13,Annual,313.689,-0.6
CUUR0000SA0,CPI_All_Items,2024,M12,December,315.605,0.0
CUUR0000SA0,CPI_All_Items,2024,M11,November,315.493,-0.1
CUUR0000SA0,CPI_All_Items,2024,M10,October,315.664,0.1
CUUR0000SA0,CPI_All_Items,2024,M09,September,315.301,0.2
CUUR0000SA0,CPI_All_Items,2024,M08,August,314.796,0.1
CUUR0000SA0,CPI_All_Items,2024,M07,July,314.54,0.1
CUUR0000SA0,CPI_All_Items,2024,M06,June,314.175,0.0
CUUR0000SA0,CPI_All_Items,2024,M05,May,314.069,0.2
CUUR0000SA0,CPI_All_Items,2024,M04,April,313.548,0.4
CUUR0000SA0,CPI_All_Items,2024,M03,March,312.332,0.6
CUUR0000SA0,CPI_All_Items,2024,M02,February,310.326,0.6
CUUR0000SA0,CPI_All_Items,2024,M01,January,308.417,0.5
CUUR0000SA0,CPI_All_Items,2023,M13,Annual,304.702,-0.7
CUUR0000SA0,CPI_All_Items,2023,M12,December,306.746,-0.1
CUUR0000SA0,CPI_All_Items,2023,M11,November,307.051,-0.2
CUUR0000SA0,CPI_All_Items,2023,M10,October,307.671,0.0
CUUR0000SA0,CPI_All_Items,2023,M09,September,307.789,0.2
CUUR0000SA0,CPI_All_Items,2023,M08,August,307.026,0.4
CUUR0000SA0,CPI_All_Items,2023,M07,July,305.691,0.2
CUUR0000SA0,CPI_All_Items,2023,M06,June,305.109,0.3
CUUR0000SA0,CPI_All_Items,2023,M05,May,304.127,0.3
