NAME,Median_HH_Income,Per_Capita_Income,Median_Earnings_Full_Time,Median_Gross_Rent,Median_Home_Value,Median_Monthly_Owner_Costs_Mortgage,Median_Rent_Pct_Income,Renters_Over50pct_Income_On_Rent,Total_Population,Owner_Occupied_Units,Renter_Occupied_Units,Population_Below_Poverty,state,county,year,fips
"Wright County, Missouri",30581,18502.0,23945,534,89800,490,28.4,429.0,18378,5020,2375,4560.0,29,229,2016,29229
"Clay County, Missouri",63702,30531.0,40475,851,156600,1124,26.2,4636.0,233135,61755,26634,20867.0,29,047,2016,29047
"Dent County, Missouri",38020,19929.0,28175,479,100300,546,25.9,240.0,15578,4206,1683,3426.0,29,065,2016,29065
"Saline County, Missouri",40645,20446.0,27296,631,92800,676,27.4,503.0,23214,5919,2866,3748.0,29,195,2016,29195
"Worth County, Missouri",44974,23292.0,28634,485,58900,432,18.4,16.0,2061,678,239,262.0,29,227,2016,29227
"Grundy County, Missouri",40187,20746.0,32146,570,83300,524,24.9,265.0,10231,2786,1270,1975.0,29,079,2016,29079
"Morgan County, Missouri",32807,19555.0,24354,604,111900,518,28.5,411.0,20182,5912,1971,4798.0,29,141,2016,29141
"Reynolds County, Missouri",36736,20792.0,23214,517,82200,467,27.9,112.0,6530,2122,530,1245.0,29,179,2016,29179
"St. Louis County, Missouri",61103,36518.0,41000,903,176000,1127,29.1,26475.0,1000560,279989,121727,100613.0,29,189,2016,29189
"Stone County, Missouri",41944,23705.0,26420,705,155500,646,31.0,585.0,31197,9985,2682,4139.0,29,209,2016,29209
"Barry County, Missouri",37869,19431.0,25954,583,112900,612,27.7,677.0,35716,9919,3329,7876.0,29,009,2016,29009
"Boone County, Missouri",50813,27689.0,36012,803,171400,1015,32.3,8648.0,172773,37049,30784,31461.0,29,019,2016,29019
"Cole County, Missouri",54130,26557.0,35991,608,150700,851,23.5,1479.0,76603,20123,9535,9067.0,29,051,2016,29051
"Crawford County, Missouri",36983,20373.0,27613,610,116500,675,30.5,615.0,24545,6721,2569,5166.0,29,055,2016,29055
"Iron County, Missouri",36354,19270.0,26400,542,81800,447,26.8,228.0,10220,2814,1236,2124.0,29,093,2016,29093
"Livingston County, Missouri",44266,22804.0,30164,609,106800,597,24.2,289.0,15057,3890,1847,2463.0,29,117,2016,29117
"Moniteau County, Missouri",48974,21068.0,31675,550,116400,636,27.1,118.0,15840,4061,1431,1779.0,29,135,2016,29135
"Pemiscot County, Missouri",31671,17681.0,26635,566,70400,553,30.1,603.0,17599,3703,3236,5036.0,29,155,2016,29155
"Pettis County, Missouri",40467,20643.0,26834,675,104800,658,27.9,998.0,42193,10706,5298,7000.0,29,159,2016,29159
"Shannon County, Missouri",32284,19290.0,24858,577,90400,429,28.8,103.0,8256,2394,782,1831.0,29,203,2016,29203
"Randolph County, Missouri",40638,18615.0,29909,615,89300,592,30.5,542.0,25081,6257,2214,4025.0,29,175,2016,29175
"Dunklin County, Missouri",31220,18203.0,27234,530,68500,492,31.5,993.0,31271,7949,4731,8355.0,29,069,2016,29069
"Franklin County, Missouri",50895,26272.0,34241,706,152700,878,26.5,1815.0,102063,29301,10896,12057.0,29,071,2016,29071
"Howard County, Missouri",45762,22192.0,30296,648,107600,636,29.1,142.0,10148,2847,913,1719.0,29,089,2016,29089
"Jackson County, Missouri",48104,27665.0,35891,820,127400,995,29.6,27682.0,683643,161850,115007,115709.0,29,095,2016,29095
"Miller County, Missouri",40057,22397.0,27279,645,119100,642,28.1,280.0,25011,7121,2287,4763.0,29,131,2016,29131
"Putnam County, Missouri",38125,20636.0,31461,520,86700,578,29.0,68.0,4877,1541,580,900.0,29,171,2016,29171
"Taney County, Missouri",38040,20929.0,24210,723,120100,699,27.9,1528.0,53853,12665,9104,9264.0,29,213,2016,29213
"Buchanan County, Missouri",46680,23189.0,30996,715,112400,777,28.8,2764.0,89415,20994,12336,15652.0,29,021,2016,29021
"Caldwell County, Missouri",44722,23273.0,35763,622,99100,684,27.5,197.0,9057,2800,938,1153.0,29,025,2016,29025
"Cass County, Missouri",63613,29197.0,39625,924,161000,1109,27.6,1854.0,101324,28619,9426,9330.0,29,037,2016,29037
"Clinton County, Missouri",57486,26551.0,37983,772,138400,916,24.0,353.0,20494,5992,2126,1887.0,29,049,2016,29049
"Dallas County, Missouri",37695,17378.0,28160,594,101300,502,25.4,271.0,16508,4487,1663,2970.0,29,059,2016,29059
"Hickory County, Missouri",33113,18694.0,21900,564,89800,415,35.1,140.0,9267,3203,759,2295.0,29,085,2016,29085
"Lincoln County, Missouri",55249,22833.0,33325,810,146200,949,28.7,973.0,54286,14082,4333,7358.0,29,113,2016,29113
"Monroe County, Missouri",41201,21069.0,27435,547,98300,550,24.3,123.0,8642,2584,940,1333.0,29,137,2016,29137
"Newton County, Missouri",44474,23874.0,30849,642,112500,665,25.9,968.0,58741,15575,6448,8294.0,29,145,2016,29145
"Pike County, Missouri",42779,19900.0,29915,625,97100,556,23.3,189.0,18475,4821,1832,2447.0,29,163,2016,29163
"St. Charles County, Missouri",75603,34021.0,45303,954,192900,1284,26.5,4937.0,379856,111998,28666,22765.0,29,183,2016,29183
"Cape Girardeau County, Missouri",48458,25348.0,33600,716,147400,775,28.4,2281.0,78089,19320,10511,13236.0,29,031,2016,29031
"Shelby County, Missouri",41351,21521.0,27112,497,73100,523,22.5,41.0,6148,1804,676,928.0,29,205,2016,29205
"Webster County, Missouri",44814,20424.0,30356,607,119500,723,26.5,589.0,37075,9498,3624,6737.0,29,225,2016,29225
"Atchison County, Missouri",43438,26710.0,29989,540,81700,617,21.6,71.0,5380,1729,765,635.0,29,005,2016,29005
"Bates County, Missouri",41520,22250.0,28414,619,107500,663,26.8,254.0,16513,4675,1942,2623.0,29,013,2016,29013
"Benton County, Missouri",33428,19487.0,24051,593,110000,512,32.4,392.0,18825,6632,1496,3581.0,29,015,2016,29015
"Carter County, Missouri",37162,21296.0,30035,555,95600,635,29.5,145.0,6249,1738,742,1275.0,29,035,2016,29035
"Dade County, Missouri",37904,20624.0,23624,600,80300,531,29.1,137.0,7590,2401,698,1520.0,29,057,2016,29057
"Linn County, Missouri",39286,20860.0,30295,513,75700,547,27.2,216.0,12319,3625,1311,2241.0,29,115,2016,29115
"Howell County, Missouri",33964,19293.0,26508,577,103500,568,28.5,1036.0,40265,11276,4938,8980.0,29,091,2016,29091
"Johnson County, Missouri",48977,22589.0,31799,744,142800,892,29.8,1918.0,54229,11844,8090,8426.0,29,101,2016,29101
"Laclede County, Missouri",40436,19552.0,27388,598,105500,619,30.7,1222.0,35505,9341,4399,6698.0,29,105,2016,29105
"Maries County, Missouri",40542,20922.0,27451,534,116600,533,26.1,125.0,8987,2703,939,1675.0,29,125,2016,29125
"Phelps County, Missouri",41603,22400.0,31260,676,117700,643,30.1,1469.0,44833,10163,6675,8620.0,29,161,2016,29161
"Platte County, Missouri",70879,36160.0,45243,915,196000,1311,26.3,2546.0,94970,24357,13342,6689.0,29,165,2016,29165
"St. Francois County, Missouri",41461,20016.0,29275,628,106100,663,28.6,1897.0,66230,16810,7949,9955.0,29,187,2016,29187
"St. Louis city, Missouri",36809,25434.0,31856,759,120900,950,31.8,21486.0,316030,60601,79515,81916.0,29,510,2016,29510
"Andrew County, Missouri",54804,26661.0,35330,736,131800,837,25.7,183.0,17347,5269,1568,1568.0,29,003,2016,29003
"Butler County, Missouri",36302,20042.0,27362,659,97200,583,30.5,1205.0,42887,10626,5990,9053.0,29,023,2016,29023
"Carroll County, Missouri",41537,24484.0,26921,530,79900,585,30.3,151.0,9009,2756,947,1632.0,29,033,2016,29033
"Virginia Beach city, Virginia",67719,33250.0,40681,1258,262200,1542,31.2,13342.0,449733,105833,61676,35924.0,51,810,2016,51810
"Alleghany County, Virginia",45538,25220.0,34704,636,111500,517,28.3,301.0,15919,5396,1449,2847.0,51,005,2016,51005
"Galax city, Virginia",31110,20796.0,26075,542,101600,501,29.3,263.0,6858,1564,1203,1642.0,51,640,2016,51640
"Westmoreland County, Virginia",51566,29824.0,32339,1012,198300,864,31.9,266.0,17528,5510,1614,1940.0,51,193,2016,51193
"Northumberland County, Virginia",54440,32238.0,33588,675,256400,813,31.6,235.0,12272,4990,786,1343.0,51,133,2016,51133
"Pulaski County, Virginia",49469,25738.0,33330,620,136700,649,24.5,680.0,34417,10455,4098,4491.0,51,155,2016,51155
"Warren County, Virginia",63734,29179.0,40687,939,223300,1199,29.3,677.0,38807,10737,3437,3937.0,51,187,2016,51187
"Danville city, Virginia",33721,21742.0,28448,602,90800,622,28.1,1876.0,42360,10065,8588,9135.0,51,590,2016,51590
"Fredericksburg city, Virginia",53980,30480.0,40712,1096,321500,1493,30.3,1604.0,27853,3575,6696,4194.0,51,630,2016,51630
"Amherst County, Virginia",47002,23372.0,30539,696,149400,770,28.6,598.0,31999,9434,2872,4405.0,51,009,2016,51009
"Bath County, Virginia",44985,28210.0,33194,478,146400,552,12.0,14.0,4558,1430,674,373.0,51,017,2016,51017
"Hopewell city, Virginia",40814,21827.0,30434,820,125400,783,29.2,1138.0,22332,4444,4422,4509.0,51,670,2016,51670
"Newport News city, Virginia",50089,25520.0,33768,972,189000,1180,31.5,8179.0,181606,34240,35007,27776.0,51,700,2016,51700
"Frederick County, Virginia",68929,31555.0,40923,1106,231400,1182,28.1,1138.0,82321,23366,6548,4800.0,51,069,2016,51069
"Lynchburg city, Virginia",40728,22016.0,29681,782,149600,867,33.1,3833.0,78755,14291,13991,16598.0,51,680,2016,51680
"York County, Virginia",83410,36722.0,46781,1403,314400,1477,28.8,1200.0,66919,17207,6665,4052.0,51,199,2016,51199
"Martinsville city, Virginia",31719,22221.0,29232,629,88700,678,29.6,547.0,13551,3061,2726,3159.0,51,690,2016,51690
"Nelson County, Virginia",50994,29769.0,30015,669,231500,834,25.2,161.0,14831,4649,1729,2125.0,51,125,2016,51125
"Pittsylvania County, Virginia",43087,22650.0,30270,652,114400,638,27.5,1138.0,62392,20094,6233,9254.0,51,143,2016,51143
"Buena Vista city, Virginia",29109,16405.0,22453,709,112400,673,36.5,324.0,6610,1608,1101,1694.0,51,530,2016,51530
"Falls Church city, Virginia",115244,66104.0,71650,1569,724000,2738,29.1,396.0,13597,3162,2139,365.0,51,610,2016,51610
"Petersburg city, Virginia",32169,20464.0,27566,857,111300,829,35.1,2342.0,31997,5429,7746,9191.0,51,730,2016,51730
