fips,county_name,state_code,year,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
,,AL,2017,437,474,630,818,918
,,AL,2017,543,600,798,1075,1302
,,AL,2017,665,751,866,1163,1298
,,AL,2017,484,538,621,904,1094
,,AL,2017,605,648,777,1082,1369
,,AL,2017,807,847,977,1422,1634
,,AL,2017,427,515,640,852,894
,,AL,2017,508,511,656,883,1042
,,AL,2017,529,532,673,897,1091
,,AL,2017,527,545,716,896,1028
,,AL,2017,513,538,621,784,1094
,,AL,2017,541,620,746,1014,1314
,,AL,2017,727,732,892,1163,1346
,,AL,2017,587,682,822,1054,1425
,,AL,2017,450,467,621,853,856
,,AL,2017,566,643,782,1004,1078
,,AL,2017,500,519,641,847,979
0100199999,,AL,2017,587,682,822,1054,1425
0100399999,,AL,2017,807,847,977,1422,1634
0100599999,,AL,2017,501,505,671,839,958
0100799999,,AL,2017,665,751,866,1163,1298
0100999999,,AL,2017,665,751,866,1163,1298
0101199999,,AL,2017,491,494,621,853,856
0101399999,,AL,2017,464,467,621,849,1094
0101599999,,AL,2017,437,474,630,818,918
0101799999,,AL,2017,476,601,751,940,1035
0101999999,,AL,2017,464,467,621,884,887
0102199999,,AL,2017,484,538,621,904,1094
0102399999,,AL,2017,512,515,685,857,978
0102599999,,AL,2017,513,538,621,896,1003
0102799999,,AL,2017,513,538,621,884,887
0102999999,,AL,2017,495,498,662,828,947
0103199999,,AL,2017,546,552,661,962,1165
0103399999,,AL,2017,529,532,673,897,1091
0103599999,,AL,2017,464,467,621,884,887
0103799999,,AL,2017,540,543,683,912,976
0103999999,,AL,2017,464,467,621,820,1094
0104199999,,AL,2017,477,480,621,818,1029
0104399999,,AL,2017,492,521,652,832,899
0104599999,,AL,2017,414,500,635,891,1119
0104799999,,AL,2017,476,514,621,820,1021
0104999999,,AL,2017,597,601,797,1001,1099
0105199999,,AL,2017,587,682,822,1054,1425
0105399999,,AL,2017,513,538,621,799,882
0105599999,,AL,2017,527,545,716,896,1028
0105799999,,AL,2017,495,538,621,884,887
0105999999,,AL,2017,495,523,621,777,887
0106199999,,AL,2017,508,511,656,883,1042
