state,year,period,wage
California,2025,M12,18187.3
California,2025,M11,18200.7
California,2025,M10,18120.2
California,2025,M09,17958.0
California,2025,M08,17942.1
California,2025,M07,17906.9
California,2025,M06,18045.6
California,2025,M05,18045.4
California,2025,M04,17984.5
California,2025,M03,17910.6
California,2025,M02,17892.1
California,2025,M01,17847.8
California,2024,M12,18186.4
California,2024,M11,18152.8
California,2024,M10,18076.7
California,2024,M09,17893.9
California,2024,M08,17885.1
California,2024,M07,17826.3
California,2024,M06,17931.8
California,2024,M05,17962.2
California,2024,M04,17918.0
California,2024,M03,17872.3
California,2024,M02,17841.3
California,2024,M01,17837.0
California,2023,M12,18036.7
California,2023,M11,18031.3
California,2023,M10,17956.3
California,2023,M09,17842.9
California,2023,M08,17777.2
California,2023,M07,17697.2
California,2023,M06,17866.5
California,2023,M05,17868.6
California,2023,M04,17767.0
California,2023,M03,17712.4
California,2023,M02,17700.0
California,2023,M01,17585.0
California,2022,M12,17960.3
California,2022,M11,17984.3
California,2022,M10,17891.5
California,2022,M09,17754.6
California,2022,M08,17712.7
California,2022,M07,17628.7
California,2022,M06,17705.0
California,2022,M05,17681.2
California,2022,M04,17617.8
California,2022,M03,17499.4
California,2022,M02,17423.2
California,2022,M01,17182.4
New York,2025,M12,10093.9
New York,2025,M11,10076.5
New York,2025,M10,10049.4
New York,2025,M09,9970.4
New York,2025,M08,10012.6
New York,2025,M07,10074.0
New York,2025,M06,10056.8
New York,2025,M05,9994.4
New York,2025,M04,9933.9
New York,2025,M03,9882.6
New York,2025,M02,9840.1
New York,2025,M01,9785.2
New York,2024,M12,10016.3
New York,2024,M11,9980.3
New York,2024,M10,9951.3
New York,2024,M09,9872.7
New York,2024,M08,9870.3
New York,2024,M07,9905.2
New York,2024,M06,9945.9
New York,2024,M05,9888.6
New York,2024,M04,9836.8
New York,2024,M03,9776.6
New York,2024,M02,9711.2
New York,2024,M01,9613.3
New York,2023,M12,9863.2
New York,2023,M11,9847.1
New York,2023,M10,9811.5
New York,2023,M09,9729.4
New York,2023,M08,9724.3
New York,2023,M07,9758.4
New York,2023,M06,9814.2
New York,2023,M05,9726.8
New York,2023,M04,9636.3
New York,2023,M03,9600.8
New York,2023,M02,9555.8
New York,2023,M01,9470.5
New York,2022,M12,9700.9
New York,2022,M11,9718.0
New York,2022,M10,9668.3
New York,2022,M09,9565.2
New York,2022,M08,9577.9
New York,2022,M07,9592.2
New York,2022,M06,9578.6
New York,2022,M05,9494.3
New York,2022,M04,9421.0
New York,2022,M03,9364.4
New York,2022,M02,9305.9
New York,2022,M01,9158.0
